БЕГ|Боловсролын Ерөнхий Газар
АА|Аж Ахуй
ААА|Ардын Аж Ахуйтан
ААЗ|Ардын Аман Зохиол
ААН|Аж Ахуйн Нэгж
ААНБ|Аж Ахуйн Нэгж Байгууллага
ААНОАТ|Аж Ахуйн Нэгжийн Орлогын Албан Татвар
ААШТ|Азийн Аварга Шалгаруулах Тэмцээн
АББ|Албан Бус Боловсрол
АББД|Ажлын Байран Дахь Бэлгийн Дарамт
АБТЭМА|Ачиж, Буулгах Тээвэр Экспедицийн Механикжсан Анги
АВА|Америкийн Волейболын Ассоциаци
АВС|Эи Би Си
АДХГЗ|Ардын Депутатуудын Хурлын Гүйцэтгэх Захиргаа
АЕГ|Архивын Ерөнхий Газар
АЖ|Ардын Жүжигчин
АЖГ|Аялал Жуулчлалын Газар
АЖЯ|Аялал Жуулчлалын Яам
АЗЗА|Авто Замын Засвар, Арчлалт
АЗХ|Ардчилсан Залуучуудын Холбоо
АИХ|Ардын Их Хурал
АИХЭА|Ардчилсан Институт Хүний Эрхийн Алба
АИХЭГ|Ардчилсан Институтүүд, Хүний Эрхийн Газар
АМГТГ|Ашигт Малтмал, Газрын Тосны Газар
АМГТХЭГ|Ашигт Малтмал, Газрын Тосны Хэрэг Эрхлэх Газар
АМНАТ|Ашигт Малтмалын Нөөц Ашигласны Төлбөр
АМТГ|Ашигт Малтмал Газрын Тосны Газар
АМХЭГ|Ашигт Малтмалын Хэрэг Эрхлэх Газар
АН|Ардчилсан Нам
АНУ|Америкийн Нэгдсэн Улс
АНЭ|Аймгийн Нэгдсэн Эмнэлэг
АНЭУ|Арабын Нэгдсэн Эмират Улс
АОС|Ажилчны Орон Сууц
АПЕК|Ази Номхон Далайн Орнуудын Эдийн Засгийн Хамтын Ажиллагааны Байгууллага
АПУ|Архи, Пиво, Ундаа
АСА|АСА
АСЕМ|АСЕМ
АСЕТ|Ази, Европын Улсуудын Дээд Хэмжээний Уулзалт
АСК|Ажилчны Соёлын Клуб
АТА|Авто Тээврийн Алба
АТАШТ|Ази Тивийн Аварга Шалгаруулах Тэмцээн
АТБЗГ|Авто Тээврийн Бодлогын Хэрэгжилтийг Зохицуулах Газар
АТГ|Авлигатай Тэмцэх Газар
АТМ|Эй Ти Эм
АТОЗ|Ард Түмний Онцгой Зөвлөл
АТР|Авто Тээврийн Рот
АТҮТ|Авто Тээврийн Үндэсний Төв
АТӨЯХ|Авто Тээвэр, Өөрөө Явагч Хэрэгсэл
АУ|Анагаах Ухаан
АУДС|Анагаах Ухааны Дээд Сургууль
АУИС|Анагаах Ухааны Их Сургууль
АУС|Анагаах Ухааны Сургууль
АУХ|Арабын Улсуудын Холбоо
АХБ|Азийн Хөгжлийн Банк
АХГГГАХМАТ|Ажиллах Хүч Гадаадад Гаргах, Гадаадаас Ажиллах Хүч, Мэргэжилтэн Авах Тухай
АХТ|Ардын Хурлын Тэргүүлэгчид
АХХС|Азийн Хотуудын Хөгжлийн Санаачилга
АХЦС|Автомашиныг Хийгээр Цэнэглэх Станц
АХЭ|Ардчилсан Хүчний Эвсэл
АЦС|Атомын Цахилгаан Станц
АЧАХ|Анголыг Чөлөөлөх Ардын Хөдөлгөөн
АЧИ|Агаарын Чанарын Индекс
АШ|Анхан Шат
АШТ|Аварга Шалгаруулах Тэмцээн
АШУИС|Анагаахын Шинжлэх Ухааны Их Сургууль
АШУҮИС|Анагаахын Шинжлэх Ухааны Үндэсний Их Сургууль
АЭС|Агро Экологийн Сургууль
АЭХ|Ардчилсан Эмэгтэйчүүдийн Холбоо
АӨСҮТ|Арьсны Өвчин Судлалын Үндэсний Төв
БАА|Болгарын Ардын Арми
ББЗХ|Байгалийн Баялгийн Засаглалын Хүрээлэн
ББСБ|Банк Бус Санхүүгийн Байгууллага
БГ|Баянгол
БГД|Баянгол Дүүрэг
БЗД|Баянзүрх Дүүрэг
БЗДХ|Бэлгийн Замаар Дамжих Халдвар
БЗНЭ|Баянзүрх Дүүргийн Нэгдсэн Эмнэлэг
БЗХӨ|Бэлгийн Замын Халдварт Өвчин
БМДИ|Багшийн Мэргэжил Дээшлүүлэх Институт
БМИҮЗ|Боловсролын Магадлан Итгэмжлэлийн Үндэсний Зөвлөл
БН|Бүгд Найрамдах
БНАГУ|Бүгд Найрамдах Ардчилсан Герман Улс
БНАЛАУ|Бүгд Найрамдах Ардчилсан Лаос Улс
БНАСАУ|Бүгд Найрамдах Ардчилсан Солонгос Ард Улс
БНАСУ|Бүгд Найрамдах Ардчилсан Сомали Улс
БНАУ|Бүгд Найрамдах Австри Улс
БНБУ|Бүгд Найрамдах Буриад Улс
БНД|Багануур Дүүрэг
БНЗУ|Бүгд Найрамдах Зимбабве Улс
БНИУ|Бүгд Найрамдах Итали Улс
БНКУ|Бүгд Найрамдах Куба Улс
БНКАУ|Бүгд Найрамдах Казахстан Улс
БНМАУ|Бүгд Найрамдах Монгол Ард Улс
БНН|Бүгд Найрамдах Нам
БНОУХ|Бүгд Найрамдахчуудын Олон Улсын Хүрээлэн
БНПУ|Бүгд Найрамдах Польш Улс
БНСАУ|Бүгд Найрамдах Сомали Ард Улс
БНСВУ|Бүгд Найрамдах Социалист Вьетнам Улс
БНСУ|Бүгд Найрамдах Солонгос Улс
БНТУ|Бүгд Найрамдах Турк Улс
БНУ|Бүгд Найрамдах Улс
БНУУ|Бүгд Найрамдах Унгар Улс
БНХАУ|Бүгд Найрамдах Хятад Ард Улс
БНЧУ|Бүгд Найрамдах Чех Улс
БНЭУ|Бүгд Найрамдах Энэтхэг Улс
БНӨСУ|Бүгд Найрамдах Өмнөд Судан Улс
БОАЖ|Байгаль Орчин, Аялал Жуулчлал
БОАЖГ|Байгаль Орчин, Аялал Жуулчлалын Газар
БОАЖЯ|Байгаль Орчин, Аялал Жуулчлалын Яам
БОГУУХХ|Байгаль Орчин, Геологи, Уул Уурхайн Хяналтын Хэлтэс
БОНХ|Байгаль Орчин Ногоон Хөгжил
БОХУБ|Байгаль Орчны Хяналтын Улсын Байцаагч
БОХХАА|Байгаль Орчин, Хүнс, Хөдөө Аж Ахуй
БОЭТ|Бүсийн Оношилгоо Эмчилгээний Төв
БСШУ|Боловсрол, Соёл, Шинжлэх Ухаан
БСШУС|Боловсрол Соёл Шинжлэх Ухаан Спорт
БСШУСЯ|Боловсрол, Соёл, Шинжлэх Ухаан, Спортын Яам
БСШУЯ|Боловсрол, Соёл, Шинжлэх Ухааны Яам
БТ|Биеийн Тамир
БТС|Биеийн Тамирын Сургууль
БТСГ|Биеийн Тамир Спортын Газар
БТТА|Биеийн Тамирын Тэргүүний Ажилтан
БТХ|Бичил Төслийн Хөтөлбөр
